Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,species,Confidence
29393b08d39760c1e58ee04cfa8bf51c,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,uncultured_archaeon,0.755970607
e5cb93d4056145af145fb1f2fd374419,Archaea, Halobacterota, Halobacteria, Halobacterales,Unassigned,Unassigned,Unassigned,1
edbeeb45fb0bff357c2b0bd08f13ba2a,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae,Unassigned,Unassigned,0.999999715
1427435456d4da78e4d4f36902b0a273,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae,Unassigned,Unassigned,0.999999879
9d9368f176526ca4a9bb79cd0ed894eb,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,Unassigned,0.929529642
bc3676c17839094c4fa8e33268905268,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,Unassigned,0.934147121
1dc39cd569a432ce57ada7a7beb81830,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,Unassigned,0.711216119
bbf479f184d47c6769249b7a6a92eeb6,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,Unassigned,0.928746554
b6d3d40b2b3bc585251bed8ba2b13820,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,Unassigned,0.950971884
77207260e4ce2d895590307d032cecc1,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Nitrososphaeraceae,Unassigned,0.701014621
106f34a47e6278d0fc28ef5fbd99dbc8,Bacteria, Proteobacteria, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, Roseomonas, Acetobacteraceae_bacterium,0.874039802
c514e934239bda224eb38e507b0c7f34,Bacteria, Proteobacteria, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, Roseomonas, Acetobacteraceae_bacterium,0.861628622
7d88f57f9945f995436415ace38245ea,Bacteria, Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacter, Acidobacteria_bacterium,0.993595522
f89c030a82b1ea06fa24cb3cf9092eec,Bacteria, Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacter, Acidobacteria_bacterium,0.995583991
34add296489b707cb3565aa975737cd8,Bacteria, Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacter, Acidobacteria_bacterium,0.993868777
8bbdaedfc50c117cf73f7ffbdbe28a5c,Bacteria, Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacter, Acidobacteria_bacterium,0.994938839
e7977a83e7964b5903b85883abf9e6d5,Bacteria, Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacter, Acidobacteria_bacterium,0.999560305
82483c808b17913b80772756864aaad1,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mitochondria, Acremonium_fuci,0.911411209
040566dc26cd6e3ec9365509873cf36e,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mitochondria, Acremonium_fuci,0.893964177
a473d7f5a163ab296c6d2b382276b987,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mitochondria, Acremonium_fuci,1
72e70422cb6b931ea90e89ec2ccbff4b,Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Hymenobacteraceae, Adhaeribacter, Adhaeribacter_sp.,0.737265063
c1a73b835e3d0c818349681e679c1fcf,Bacteria, Actinobacteriota, Actinobacteria, Propionibacteriales, Nocardioidaceae, Aeromicrobium, Aeromicrobium_sp.,0.72289043
21c8aea8c3a8eb2dbb403fdb684aedec,Bacteria, Actinobacteriota, Actinobacteria, Propionibacteriales, Nocardioidaceae, Aeromicrobium, Aeromicrobium_sp.,0.832972742
dd38529dcd44702f21dbc2ea939457a9,Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Algoriphagus_boseongensis,0.999997525
a31aeb4afd8c46c049f105c3d88780ed,Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Algoriphagus_boseongensis,0.999998486
d6610177ede6fc33ee0e68833f771318,Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Algoriphagus_boseongensis,0.999998055
495b56ff20fd60d10f78aece6f310555,Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Algoriphagus_boseongensis,0.999996128
8b2417574268cad99572f128f257cd50,Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Algoriphagus_boseongensis,0.999997508
b5239bd7b4ac5f985926a9708867e264,Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Algoriphagus_boseongensis,0.981624915
0975575f2e1ea394fa24c22e818b7659,Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Algoriphagus_boseongensis,0.99999834
f9a2fdd11eaede8bd89c63e76538854a,Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Microscillaceae, uncultured, Algoriphagus_boseongensis,0.999996642
cb7242386383d4893969ddf4f5ea7e4b,Bacteria, Bacteroidota, Bacteroidia, Cytophagales, Cyclobacteriaceae, Algoriphagus, Algoriphagus_terrigena,0.865676619
44e865324aa910a141274ed79e4238e7,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes, Alistipes_inops,0.785996262
